Week,Retailer,Sales Gold NZ BL,Sales Gold NZ ZR
05/06/2017,Eland,1351.574344,1351.574344
05/06/2017,Emart,24747.66239,24747.66239
05/06/2017,Emart traders,8067.661808,8067.661808
05/06/2017,Homeplus Express,2490.970845,2490.970845
05/06/2017,Mega Mart,728.4198251,728.4198251
05/06/2017,Costco Korea,13242.10909,13242.10909
05/06/2017,VIC Market,79,79
05/06/2017,Hyundae Department,2712.166181,2712.166181
05/06/2017,Market 999,38.11078717,38.11078717
05/06/2017,Homeplus 365,23.56851312,23.56851312
05/06/2017,Emart24,0,0
05/06/2017,Mini Stop,0,0
05/06/2017,No Brand,0,0
05/06/2017,CU,0,0
05/06/2017,Shinsegae Department,0,0
05/06/2017,Sampling ,1066.302041,1066.302041
05/06/2017,Loss,0,0
05/06/2017,Wholesale,74361.44898,74361.44898
05/06/2017,E-commerce,1158.204082,1158.204082
05/06/2017,Retail,88435.82862,88435.82862
12/06/2017,Lotte Mart,7791.276968,7791.276968
12/06/2017,Lotte super,3466.419825,3466.419825
12/06/2017,Homeplus,13501.82216,13501.82216
12/06/2017,AK Plaza,420,420
12/06/2017,GS Retail,2193,2193
12/06/2017,Lotte Department,1532,1532
12/06/2017,GS25,302,302
12/06/2017,Emart everyday,1245.688338,1245.688338
12/06/2017,CS Distribution,0,0
12/06/2017,Eland,9465.364431,9465.364431
12/06/2017,Emart,25489.16326,25489.16326
12/06/2017,Emart traders,3477.525948,3477.525948
12/06/2017,Homeplus Express,1963.174927,1963.174927
12/06/2017,Mega Mart,2305.276968,2305.276968
12/06/2017,Costco Korea,14479.63636,14479.63636
12/06/2017,VIC Market,1077,1077
12/06/2017,Hyundae Department,3191.137026,3191.137026
12/06/2017,Market 999,127.4635569,127.4635569
12/06/2017,Homeplus 365,22.04081633,22.04081633
12/06/2017,Emart24,0,0
12/06/2017,Mini Stop,0,0
12/06/2017,No Brand,0,0
12/06/2017,CU,0,0
12/06/2017,Shinsegae Department,0,0
12/06/2017,Sampling ,1287.057143,1287.057143
12/06/2017,Loss,0,0
12/06/2017,Wholesale,77113.74344,77113.74344
12/06/2017,E-commerce,1035.909621,1035.909621
12/06/2017,Retail,92049.99059,92049.99059
19/06/2017,Lotte Mart,8746.752187,8746.752187
19/06/2017,Lotte super,2722.437318,2722.437318
19/06/2017,Homeplus,12557.92711,12557.92711
19/06/2017,AK Plaza,403,403
19/06/2017,GS Retail,2006,2006
19/06/2017,Lotte Department,582,582
19/06/2017,GS25,273,273
19/06/2017,Emart everyday,2354.018659,2354.018659
19/06/2017,CS Distribution,0,0
19/06/2017,Eland,1170.046647,1170.046647
19/06/2017,Emart,26205.94315,26205.94315
19/06/2017,Emart traders,3772.762974,3772.762974
19/06/2017,Homeplus Express,3639.090379,3639.090379
19/06/2017,Mega Mart,203.0787172,203.0787172
19/06/2017,Costco Korea,9664.356364,9664.356364
19/06/2017,VIC Market,238,238
19/06/2017,Hyundae Department,3008.781341,3008.781341
