Week,Retailer,Sales Green NZ BL,Sales Green NZ ZR
03/07/2017,Shinsegae Department,0,0
03/07/2017,Sampling ,723.8142857,723.8142857
03/07/2017,Loss,0,0
03/07/2017,Wholesale,88527.54286,88527.54286
03/07/2017,E-commerce,96,96
03/07/2017,Retail,23907.41039,23907.41039
10/07/2017,Lotte Mart,3612.765714,3612.765714
10/07/2017,Lotte super,481.8342857,481.8342857
10/07/2017,Homeplus,5989.92,5989.92
10/07/2017,AK Plaza,70,70
10/07/2017,GS Retail,281,281
10/07/2017,Lotte Department,168,168
10/07/2017,GS25,40,40
10/07/2017,Emart everyday,471.9942857,471.9942857
10/07/2017,CS Distribution,0,0
10/07/2017,Eland,1102.491429,1102.491429
10/07/2017,Emart,5848.831429,5848.831429
10/07/2017,Emart traders,4179.791429,4179.791429
10/07/2017,Homeplus Express,495.8342857,495.8342857
10/07/2017,Mega Mart,122.4228571,122.4228571
10/07/2017,Costco Korea,5749.090909,5749.090909
10/07/2017,VIC Market,205,205
10/07/2017,Hyundae Department,192.0628571,192.0628571
10/07/2017,Market 999,29.63428571,29.63428571
10/07/2017,Homeplus 365,0,0
10/07/2017,Emart24,0,0
10/07/2017,Mini Stop,0,0
10/07/2017,No Brand,0,0
10/07/2017,CU,0,0
10/07/2017,Shinsegae Department,0,0
10/07/2017,Sampling ,796.9571429,796.9571429
10/07/2017,Loss,0,0
10/07/2017,Wholesale,76699.58286,76699.58286
10/07/2017,E-commerce,155,155
10/07/2017,Retail,29040.67377,29040.67377
17/07/2017,Lotte Mart,2408.685714,2408.685714
17/07/2017,Lotte super,774.0285714,774.0285714
17/07/2017,Homeplus,5147.942857,5147.942857
17/07/2017,AK Plaza,65,65
17/07/2017,GS Retail,404,404
17/07/2017,Lotte Department,73,73
17/07/2017,GS25,0,0
17/07/2017,Emart everyday,939.7571429,939.7571429
17/07/2017,CS Distribution,0,0
17/07/2017,Eland,184.5142857,184.5142857
17/07/2017,Emart,5188.371429,5188.371429
17/07/2017,Emart traders,1131.614286,1131.614286
17/07/2017,Homeplus Express,1247.142857,1247.142857
17/07/2017,Mega Mart,132.0571429,132.0571429
17/07/2017,Costco Korea,6722.727273,6722.727273
17/07/2017,VIC Market,63,63
17/07/2017,Hyundae Department,190.9142857,190.9142857
17/07/2017,Market 999,35,35
17/07/2017,Homeplus 365,0,0
17/07/2017,Emart24,0,0
17/07/2017,Mini Stop,0,0
17/07/2017,No Brand,0,0
17/07/2017,CU,0,0
17/07/2017,Shinsegae Department,0,0
17/07/2017,Sampling ,757.2428572,757.2428572
17/07/2017,Loss,0,0
17/07/2017,Wholesale,38498.34286,38498.34286
17/07/2017,E-commerce,157,157
17/07/2017,Retail,24707.75584,24707.75584
24/07/2017,Lotte Mart,3752.114286,3752.114286
24/07/2017,Lotte super,909.6,909.6
24/07/2017,Homeplus,6674.742857,6674.742857
24/07/2017,AK Plaza,52,52
24/07/2017,GS Retail,254,254
24/07/2017,Lotte Department,235,235
24/07/2017,GS25,0,0
24/07/2017,Emart everyday,536.2,536.2
24/07/2017,CS Distribution,0,0
24/07/2017,Eland,328.3142857,328.3142857
24/07/2017,Emart,11890.98571,11890.98571
24/07/2017,Emart traders,991.3714286,991.3714286
24/07/2017,Homeplus Express,408.0285714,408.0285714
24/07/2017,Mega Mart,140.5428571,140.5428571
24/07/2017,Costco Korea,14862.72727,14862.72727
24/07/2017,VIC Market,240,240
24/07/2017,Hyundae Department,226.5428571,226.5428571
24/07/2017,Market 999,48.6,48.6
24/07/2017,Homeplus 365,0,0
24/07/2017,Emart24,0,0
24/07/2017,Mini Stop,0,0
24/07/2017,No Brand,0,0
24/07/2017,CU,0,0
24/07/2017,Shinsegae Department,0,0
24/07/2017,Sampling ,705.1,705.1
24/07/2017,Loss,0,0
24/07/2017,Wholesale,42993.18571,42993.18571
24/07/2017,E-commerce,116,116
24/07/2017,Retail,41550.77013,41550.77013
31/07/2017,Lotte Mart,3296.914286,3296.914286
31/07/2017,Lotte super,654.1714286,654.1714286
31/07/2017,Homeplus,6461.142857,6461.142857
31/07/2017,AK Plaza,48,48
31/07/2017,GS Retail,287,287
31/07/2017,Lotte Department,166,166
31/07/2017,GS25,0,0
31/07/2017,Emart everyday,976.2866788,976.2866788
31/07/2017,CS Distribution,0,0
31/07/2017,Eland,3897.457143,3897.457143
31/07/2017,Emart,13316.51282,13316.51282
31/07/2017,Emart traders,2095.187391,2095.187391
31/07/2017,Homeplus Express,713.1714286,713.1714286
31/07/2017,Mega Mart,126.5142857,126.5142857
31/07/2017,Costco Korea,2410.909091,2410.909091
31/07/2017,VIC Market,102,102
31/07/2017,Hyundae Department,179.8285714,179.8285714
31/07/2017,Market 999,31.85714286,31.85714286
31/07/2017,Homeplus 365,0,0
31/07/2017,Emart24,0,0
31/07/2017,Mini Stop,0,0
31/07/2017,No Brand,0,0
31/07/2017,CU,0,0
31/07/2017,Shinsegae Department,0,0
31/07/2017,Sampling ,631.6571429,631.6571429
31/07/2017,Loss,0,0
31/07/2017,Wholesale,84052.22286,84052.22286
31/07/2017,E-commerce,148,148
31/07/2017,Retail,34762.95312,34762.95312
07/08/2017,Lotte Mart,4540.628571,4540.628571
07/08/2017,Lotte super,1255.685714,1255.685714
07/08/2017,Homeplus,6685.8,6685.8
07/08/2017,AK Plaza,40,40
07/08/2017,GS Retail,456,456
07/08/2017,Lotte Department,151,151
07/08/2017,GS25,0,0
07/08/2017,Emart everyday,576.6428571,576.6428571
07/08/2017,CS Distribution,0,0
07/08/2017,Eland,487.8857143,487.8857143
07/08/2017,Emart,5418.928571,5418.928571
07/08/2017,Emart traders,1811.914286,1811.914286
07/08/2017,Homeplus Express,587,587
07/08/2017,Mega Mart,127.9428571,127.9428571
07/08/2017,Costco Korea,5319.090909,5319.090909
07/08/2017,VIC Market,237,237
07/08/2017,Hyundae Department,220.8571429,220.8571429
07/08/2017,Market 999,43.45714286,43.45714286
07/08/2017,Homeplus 365,0,0
07/08/2017,Emart24,0,0
07/08/2017,Mini Stop,0,0
07/08/2017,No Brand,0,0
07/08/2017,CU,0,0
07/08/2017,Shinsegae Department,0,0
07/08/2017,Sampling ,617.3714286,617.3714286
07/08/2017,Loss,0,0
07/08/2017,Wholesale,45754.11429,45754.11429
07/08/2017,E-commerce,291,291
07/08/2017,Retail,27959.83377,27959.83377
14/08/2017,Lotte Mart,4774.628571,4774.628571
14/08/2017,Lotte super,727.8114286,727.8114286
14/08/2017,Homeplus,7765.16,7765.16
14/08/2017,AK Plaza,26,26
14/08/2017,GS Retail,1069,1069
14/08/2017,Lotte Department,176,176
14/08/2017,GS25,0,0
14/08/2017,Emart everyday,858.36,858.36
14/08/2017,CS Distribution,0,0
14/08/2017,Eland,413.2457143,413.2457143
14/08/2017,Emart,4967.494285,4967.494285
14/08/2017,Emart traders,2399.502857,2399.502857
14/08/2017,Homeplus Express,2275.582857,2275.582857
14/08/2017,Mega Mart,143.04,143.04
14/08/2017,Costco Korea,5757.394273,5757.394273
14/08/2017,VIC Market,791,791
14/08/2017,Hyundae Department,205.3942857,205.3942857
14/08/2017,Market 999,40.11428571,40.11428571
