Table,Year,Month,Week,Year_Week,Year_Month,Row_Title,Full_Title,Title_Core,Title_Type,Value,Title_Type Tagging
Table253,2019,4,17,2019_17,2019_04,(3) 3,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,4,17,2019_17,2019_04,(2) 2,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,4,17,2019_17,2019_04,(1) 1,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,17,2019_17,2019_04,(0) Cost the least,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,17,2019_17,2019_04,Not Answer,(BP5) Price  (SA)  Bonita           ,Price,Bonita,70.0,By Brand
Table253,2019,4,17,2019_17,2019_04,Top 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,17,2019_17,2019_04,Top 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,4,17,2019_17,2019_04,Top 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,8.0,By Brand
Table253,2019,4,17,2019_17,2019_04,Bottom 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,6.0,By Brand
Table253,2019,4,17,2019_17,2019_04,Bottom 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,17,2019_17,2019_04,Bottom 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,4,17,2019_17,2019_04,Mean,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.51,By Brand
Table253,2019,4,17,2019_17,2019_04,S.D,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.47,By Brand
Table253,2019,4,17,2019_17,2019_04,S.E,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.25,By Brand
Table253,2019,5,22,2019_22,2019_05,Base,(BP5) Price  (SA)  Bonita           ,Price,Bonita,100.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(10) Cost the most,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(9) 9,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(8) 8,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(7) 7,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(6) 6,(BP5) Price  (SA)  Bonita           ,Price,Bonita,4.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(5) 5,(BP5) Price  (SA)  Bonita           ,Price,Bonita,11.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(4) 4,(BP5) Price  (SA)  Bonita           ,Price,Bonita,4.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(3) 3,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(2) 2,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(1) 1,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,22,2019_22,2019_05,(0) Cost the least,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
